Date,Product,Category,Region,Quantity,Sales
2024-01-01,Monitor,Electronics,North,2,754.98
2024-01-03,Monitor,Electronics,East,4,1732.20
2024-01-03,Mouse,Accessories,West,1,53.61
2024-01-07,Headphones,Accessories,East,8,1566.60
2024-01-08,Headphones,Accessories,West,8,1628.57
2024-01-09,Monitor,Electronics,South,3,1139.19
2024-01-12,Headphones,Accessories,West,4,879.57
2024-01-12,Monitor,Electronics,North,6,2449.79
2024-01-12,Keyboard,Accessories,South,6,565.14
2024-01-13,Mouse,Accessories,North,5,247.67
2024-01-15,Mouse,Accessories,South,7,333.90
2024-01-15,Monitor,Electronics,South,1,436.31
2024-01-17,Keyboard,Accessories,South,2,214.82
2024-01-18,Monitor,Electronics,North,5,2131.76
2024-01-18,Headphones,Accessories,North,4,834.56
2024-01-18,Laptop,Electronics,West,2,2189.25
2024-01-19,Headphones,Accessories,East,4,832.73
2024-01-20,Monitor,Electronics,West,8,3218.63
2024-01-20,Keyboard,Accessories,North,3,302.05
2024-01-22,Headphones,Accessories,South,6,1282.28
2024-01-22,Mouse,Accessories,North,9,412.82
2024-01-22,Headphones,Accessories,North,2,414.54
2024-01-23,Laptop,Electronics,South,7,6776.35
2024-01-24,Headphones,Accessories,East,10,1971.37
2024-01-24,Laptop,Electronics,North,5,4744.89
2024-01-25,Laptop,Electronics,South,5,5485.22
2024-01-25,Mouse,Accessories,South,6,276.13
2024-01-25,Headphones,Accessories,East,6,1106.77
2024-01-26,Mouse,Accessories,South,7,356.75
2024-01-27,Laptop,Electronics,South,1,1061.01
2024-01-28,Laptop,Electronics,North,10,15230.50
2024-01-29,Mouse,Accessories,East,3,18750.00
