Date,Region,Category,Price,Sales
2026-03-15,West,Electronics,343.5456712618357,5000.0
2026-03-20,South,Toys,270.15794582539684,270.15794582539684
2026-03-29,South,Electronics,229.4137506408149,688.2412519224447
2026-03-15,South,Toys,280.9176136449507,561.8352272899014
2026-03-11,West,Toys,300.42139470090285,2703.792552308126
2026-03-08,South,Clothing,49.61812990303047,297.7087794181828
2026-03-29,East,Electronics,191.13068347008817,573.3920504102646
2026-03-21,West,Home,128.65836975593868,1029.2669580475094
2026-03-07,East,Home,403.53848062614895,3228.3078450091916
2026-03-26,West,Electronics,240.44731087855882,480.89462175711765
2026-03-19,South,Home,491.87733903847305,2951.264034230838
2026-03-23,East,Home,205.423976797831,1437.9678375848168
2026-03-11,West,Electronics,410.05161787749813,820.1032357549963
2026-03-11,North,Toys,401.18911124243004,802.3782224848601
2026-03-24,South,Electronics,83.85159654306044,83.85159654306044
2026-03-21,West,Toys,259.01740060295214,2072.139204823617
2026-03-04,North,Home,350.9482753275321,350.9482753275321
2026-03-08,West,Home,430.59581435872275,3875.3623292285047
2026-03-24,North,Home,169.71986354892354,1018.3191812935413
2026-03-03,South,Clothing,117.91811330711866,825.4267931498306
2026-03-22,East,Toys,358.46327089462875,2509.2428962624012
2026-03-21,North,Clothing,406.6555126084605,1219.9665378253817
2026-03-02,West,Clothing,180.8463337729474,361.6926675458948
2026-03-24,South,Electronics,57.12651003479617,514.1385903131655
2026-03-12,North,Clothing,470.85639959990596,3766.8511967992476
2026-03-30,West,Electronics,204.81029033288593,1433.6720323302015
2026-03-06,West,Electronics,263.69816175846523,2373.283455826187
2026-03-02,West,Clothing,420.4779518945907,1681.9118075783629
2026-03-28,North,Toys,341.0881573492476,1364.3526293969903
2026-03-21,North,Toys,370.25589842797837,370.25589842797837
2026-03-01,North,Toys,112.4450941614797,899.5607532918376
2026-03-12,East,Toys,275.30950717550724,825.9285215265218
2026-03-26,North,Toys,350.9343556790903,2456.540489753632
2026-03-22,North,Clothing,121.98951068067683,243.97902136135366
2026-03-29,North,Clothing,95.72791427700874,191.45582855401747
2026-03-12,East,Home,491.26248823142345,3438.837417619964
2026-03-25,North,Toys,263.151586722797,1578.909520336782
2026-03-17,West,Clothing,137.8062956669004,413.41888700070126
2026-03-27,North,Home,498.1643128813829,4483.478815932446
2026-03-27,West,Toys,483.0554821315089,2898.3328927890534
2026-03-31,West,Electronics,283.5637922674778,1701.382753604867
2026-03-10,West,Home,442.49180816277646,442.49180816277646
2026-03-28,East,Clothing,102.46648308727589,409.86593234910356
2026-03-28,East,Electronics,146.64696277016913,879.8817766210148
2026-03-16,East,Electronics,353.17533668665794,2119.052020119948
2026-03-15,North,Electronics,424.8639596967699,2124.3197984838494
2026-03-30,West,Home,429.5989030202653,429.5989030202653
2026-03-30,East,Clothing,208.20898228987315,1665.6718583189852
2026-03-15,East,Electronics,445.0073483928703,2225.0367419643517
2026-03-30,North,Toys,426.9549398960812,2134.774699480406
2026-03-19,East,Electronics,468.4611471682643,3279.22803017785
2026-03-12,North,Electronics,394.8169190458324,1579.2676761833295
2026-03-23,South,Home,337.80424480997203,2026.8254688598322
2026-03-20,East,Home,294.5364445038628,1178.1457780154512
2026-03-25,South,Clothing,192.41855561525412,577.2556668457623
2026-03-03,North,Toys,470.6653868043114,3294.65770763018
2026-03-05,West,Home,487.0952800101055,3896.762240080844
2026-03-19,East,Electronics,149.1212776213582,596.4851104854328
2026-03-07,North,Clothing,159.6282915687528,319.2565831375056
2026-03-21,West,Electronics,247.95073925725103,743.8522177717531
2026-03-09,West,Electronics,229.7278300632612,229.7278300632612
2026-03-07,South,Home,497.28415667930216,3978.2732534344173
2026-03-18,North,Clothing,96.20337381189924,288.6101214356977
2026-03-04,West,Toys,18.856928171605226,131.99849720123657
2026-03-25,East,Toys,252.00792043988295,1260.0396021994147
2026-03-28,East,Home,97.62312751845111,488.11563759225555
2026-03-14,South,Home,189.56970444560136,1326.9879311192094
2026-03-18,West,Clothing,374.6435562977155,3371.7920066794395
2026-03-26,North,Toys,363.26056288354334,1816.3028144177167
2026-03-09,East,Toys,160.94978800767072,160.94978800767072
2026-03-26,West,Toys,275.84471297190066,275.84471297190066
2026-03-21,West,Electronics,259.3188976509924,518.6377953019849
2026-03-02,South,Toys,321.80298291108875,1930.8178974665325
2026-03-20,East,Electronics,132.72629111673623,1194.5366200506262
2026-03-28,East,Clothing,299.0367153046665,2392.293722437332
2026-03-15,North,Electronics,489.65750055475445,2448.2875027737723
2026-03-28,East,Clothing,248.503654950133,248.503654950133
2026-03-07,North,Toys,453.9884059820915,3177.9188418746403
2026-03-12,East,Toys,222.85323910011005,1114.26619550055
2026-03-29,South,Clothing,181.53841977039107,1089.2305186223464
2026-03-08,East,Home,326.10064739497676,2282.704531764837
2026-03-15,North,Clothing,337.77278923491883,1013.3183677047565
2026-03-03,North,Home,433.4421068852325,1300.3263206556974
2026-03-14,South,Electronics,122.79078143836209,613.9539071918105
2026-03-17,East,Electronics,254.60475614352865,1527.6285368611718
2026-03-04,East,Electronics,290.2820576124997,2612.5385185124974
2026-03-18,South,Toys,386.5914670100914,1932.957335050457
2026-03-08,East,Electronics,31.365848159672538,31.365848159672538
2026-03-04,East,Home,497.3297502906971,1989.3190011627885
2026-03-02,North,Electronics,240.27281185556205,1201.3640592778102
2026-03-30,East,Clothing,146.9845674804117,734.9228374020585
2026-03-06,East,Clothing,442.91207091046687,3100.384496373268
2026-03-22,South,Toys,376.38219920973285,1505.5287968389314
2026-03-10,South,Clothing,477.00520504173704,477.00520504173704
2026-03-04,West,Home,172.0676492885517,860.3382464427585
2026-03-22,North,Electronics,280.8548337493901,1965.9838362457306
2026-03-29,East,Toys,290.4233098937108,1742.5398593622647
