Date,Product,Region,Quantity,Sales
2024-01-01,Monitor,North,2,754.98
2024-01-03,Monitor,East,4,1732.2
2024-01-03,Mouse,West,1,53.61
2024-01-07,Headphones,East,8,1566.6
2024-01-08,Headphones,West,8,1628.57
2024-01-09,Monitor,South,3,1139.19
2024-01-12,Headphones,West,4,879.57
2024-01-12,Monitor,North,6,2449.79
2024-01-12,Keyboard,South,6,565.14
2024-01-13,Mouse,North,5,247.67
2024-01-15,Mouse,South,7,333.9
2024-01-15,Monitor,South,1,436.31
2024-01-17,Keyboard,South,2,214.82
2024-01-18,Monitor,North,5,2131.76
2024-01-18,Headphones,North,4,834.56
2024-01-18,Laptop,West,2,2189.25
2024-01-19,Headphones,East,4,832.73
2024-01-20,Monitor,West,8,3218.63
2024-01-20,Keyboard,North,3,302.05
2024-01-22,Headphones,South,6,1282.28
2024-01-22,Mouse,North,9,412.82
2024-01-22,Headphones,North,2,414.54
2024-01-23,Laptop,South,7,6776.35
2024-01-24,Headphones,East,10,1971.37
2024-01-24,Laptop,North,5,4744.89
2024-01-25,Laptop,South,5,5485.22
2024-01-25,Mouse,South,6,276.13
2024-01-25,Headphones,East,6,1106.77
2024-01-26,Mouse,South,7,356.75
2024-01-27,Laptop,South,1,1061.01
